city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Madrid,Spain,933.23,703.38,1643.28,1122.1,1.75,1578.77,1.7,10.71,1.05,1.76,9.87,6.23,5.0,9.0,1.71,0.99,3.0,1.65,35.57,1.34,1.69,41.89,71.0,0.99,8.0,12.0,40.0,86.22,0.83,0.17,54.6,2.13,71.17,1.5,1.11,1.56,1.05,442.96,7353.81,1.03,5233.54,2966.34,26.98,1.1,3.0,23.5,11.08,1.77,21470.45,119.87,20000.0,,0.71,5.45
Tallinn,Estonia,533.33,364.36,869.29,611.46,1.13,1188.81,1.06,8.34,0.87,2.79,7.2,5.28,4.25,8.0,1.83,1.42,4.0,1.58,45.44,1.35,1.53,22.88,71.23,0.99,6.0,8.0,45.0,88.33,0.7,0.04,23.0,2.39,67.16,2.0,0.56,1.37,0.49,250.94,7666.24,1.39,2632.65,1810.14,30.54,0.5,2.5,10.5,23.03,1.93,17310.65,175.25,17600.0,,0.58,7.0
Bangalore,India,213.5,124.18,545.83,315.83,2.08,579.22,0.68,4.42,0.44,1.63,5.79,3.0,3.8,3.8,0.44,1.57,1.9,0.81,20.0,0.98,2.99,12.42,29.66,0.54,3.16,2.53,12.66,35.07,0.53,0.01,15.82,9.19,42.78,0.38,0.41,0.93,0.36,87.82,2473.25,0.68,1578.13,685.08,27.71,0.23,0.63,0.76,5.18,0.39,22444.75,22.24,11390.48,,0.36,7.59
Iasi,Romania,272.07,202.65,479.23,338.9,0.76,529.52,1.08,6.17,0.54,1.48,4.74,4.21,3.77,5.02,1.16,0.81,1.26,1.97,28.32,1.19,1.3,6.8,52.92,0.57,4.19,5.23,20.93,63.36,0.9,0.07,16.74,5.14,56.2,0.52,0.63,1.02,0.53,216.07,3218.01,0.95,1293.58,882.21,31.39,0.52,0.52,5.23,8.57,1.08,16999.32,115.11,15697.62,,0.53,4.19
Chennai,India,163.9,98.51,398.88,225.75,2.03,403.82,0.78,4.17,0.41,1.3,4.88,2.8,3.8,2.53,0.42,1.49,1.9,0.75,17.63,0.98,2.59,11.19,26.94,0.36,3.35,1.52,7.59,29.83,0.6,0.01,12.66,9.89,38.55,0.25,0.45,1.08,0.45,51.12,1470.3,0.67,1647.69,672.8,23.73,0.19,1.27,0.76,5.58,0.41,21604.75,35.72,11390.48,,0.39,6.33
Doha,Qatar,1320.12,874.29,2500.0,1729.62,1.8,2827.76,1.4,8.98,1.4,4.62,8.09,6.07,5.19,8.66,0.65,7.58,11.13,2.53,95.89,0.48,8.42,78.31,55.34,1.48,6.18,6.18,49.47,78.59,1.62,0.15,37.0,4.8,83.76,0.74,0.77,1.42,0.99,537.35,8918.89,1.43,3986.95,2696.24,46.12,0.47,2.47,7.92,24.29,1.6,16539.84,64.59,17315.57,,0.51,28.32
Delhi,India,200.32,123.19,491.27,291.67,1.63,473.8,0.67,5.19,0.4,1.64,4.22,3.35,3.8,3.8,0.42,1.36,1.9,0.87,21.35,0.94,2.39,9.76,30.56,0.43,3.16,3.8,15.19,37.65,0.64,0.01,12.66,9.23,47.87,0.38,0.34,0.76,0.29,68.71,1674.83,0.79,1783.51,857.45,33.54,0.19,0.63,0.76,7.29,0.45,21350.29,51.68,10124.87,,0.37,9.49
Gurgaon,India,238.36,146.22,569.92,350.88,2.02,859.33,0.71,6.04,0.4,1.71,4.37,3.39,3.8,4.43,0.39,1.49,1.96,1.01,29.15,0.94,2.38,12.81,33.43,0.6,3.16,3.8,12.66,43.62,0.63,0.01,13.92,9.22,54.08,0.51,0.36,0.93,0.3,104.09,2512.76,0.9,1534.45,940.84,39.62,0.16,0.63,1.14,7.54,0.49,22201.55,63.53,10757.68,,0.35,10.12
Valencia,Spain,672.08,463.64,1053.57,704.81,1.51,1342.17,1.34,10.42,0.81,1.53,10.83,5.92,5.0,8.0,1.51,0.69,2.0,1.52,31.35,1.3,1.0,35.26,69.0,0.85,7.0,8.75,35.0,88.33,0.67,0.18,41.9,2.36,65.48,1.5,0.92,1.0,0.83,405.64,7422.22,0.88,2605.35,1350.0,29.32,1.08,4.0,19.32,11.62,1.46,18714.29,113.44,18000.0,,0.38,4.0
Vienna,Austria,858.37,621.65,1584.2,1105.34,1.99,1900.43,1.67,14.3,1.75,3.19,10.41,8.95,5.5,10.0,2.77,0.97,4.0,2.55,27.44,1.24,1.54,30.86,78.53,1.19,7.25,10.0,45.0,108.19,1.03,0.04,48.0,2.1,81.5,2.4,1.34,2.08,1.29,211.88,16035.71,1.26,6403.78,4164.43,32.94,1.42,4.0,27.8,18.33,2.33,22357.62,158.45,22700.0,,0.54,6.99
